time_ms,v,w,left_wheel,right_wheel
22,0.8,0.0258591,0.774141,0.825859
72,0.8,0.0256757,0.774324,0.825676
122,0.8,0.0254918,0.774508,0.825492
172,0.8,0.0253108,0.774689,0.825311
221,0.8,0.0251308,0.774869,0.825131
272,0.8,0.0249508,0.775049,0.824951
322,0.8,0.0247773,0.775223,0.824777
371,0.8,0.0246034,0.775397,0.824603
421,0.8,0.0244343,0.775566,0.824434
471,0.8,0.0242706,0.775729,0.824271
522,0.8,0.0241065,0.775894,0.824106
572,0.8,0.0239578,0.776042,0.823958
621,0.8,0.023809,0.776191,0.823809
672,0.8,0.0236727,0.776327,0.823673
721,0.8,0.0235463,0.776454,0.823546
772,0.8,0.0234315,0.776568,0.823432
822,0.8,0.0233548,0.776645,0.823355
871,0.8,0.0232904,0.77671,0.82329
921,0.8,0.0232482,0.776752,0.823248
971,0.8,0.0232226,0.776777,0.823223
1022,0.8,0.0232139,0.776786,0.823214
1072,0.8,0.0215131,0.778487,0.821513
1123,0.8,0.0214817,0.778518,0.821482
1172,0.8,0.0214698,0.77853,0.82147
1222,0.8,0.0214765,0.778523,0.821477
1271,0.8,0.021498,0.778502,0.821498
1322,0.8,0.0215417,0.778458,0.821542
1372,0.8,0.0215955,0.778405,0.821595
1422,0.8,0.0216752,0.778325,0.821675
1471,0.8,0.0217599,0.77824,0.82176
1522,0.8,0.0218541,0.778146,0.821854
1571,0.8,0.0219458,0.778054,0.821946
1622,0.8,0.0220333,0.777967,0.822033
1672,0.8,0.0221166,0.777883,0.822117
1722,0.8,0.0221956,0.777804,0.822196
1771,0.8,0.0222706,0.777729,0.822271
1821,0.8,0.0223415,0.777659,0.822341
1872,0.8,0.0224084,0.777592,0.822408
1921,0.8,0.0224713,0.777529,0.822471
1972,0.8,0.0225303,0.77747,0.82253
2022,0.8,0.0225856,0.777414,0.822586
2072,0.8,0.022637,0.777363,0.822637
2122,0.8,0.0163815,0.783619,0.816381
2172,0.8,0.0165989,0.783401,0.816599
2222,0.8,0.0168106,0.783189,0.816811
2272,0.8,0.0170168,0.782983,0.817017
2321,0.8,0.0172174,0.782783,0.817217
2372,0.8,0.0174126,0.782587,0.817413
2421,0.8,0.0176024,0.782398,0.817602
2472,0.8,0.0177869,0.782213,0.817787
2521,0.8,0.0179661,0.782034,0.817966
2571,0.8,0.01814,0.78186,0.81814
2622,0.8,0.0183089,0.781691,0.818309
2671,0.8,0.0184726,0.781527,0.818473
2722,0.8,0.0186314,0.781369,0.818631
2771,0.8,0.0187852,0.781215,0.818785
2821,0.8,0.0189341,0.781066,0.818934
2871,0.8,0.0190781,0.780922,0.819078
2921,0.8,0.0192174,0.780783,0.819217
2971,0.8,0.019352,0.780648,0.819352
3022,0.8,0.0194819,0.780518,0.819482
3072,0.8,0.0196072,0.780393,0.819607
3122,0.8,0.0331911,0.766809,0.833191
3171,0.8,0.0328855,0.767114,0.832886
3221,0.8,0.0325805,0.767419,0.832581
3272,0.8,0.0322762,0.767724,0.832276
3321,0.8,0.0319726,0.768027,0.831973
3371,0.8,0.0316697,0.76833,0.83167
3421,0.8,0.0313675,0.768633,0.831367
3471,0.8,0.031066,0.768934,0.831066
3522,0.8,0.0307654,0.769235,0.830765
3571,0.8,0.0304656,0.769534,0.830466
3621,0.8,0.0301666,0.769833,0.830167
3671,0.8,0.0298685,0.770132,0.829868
3721,0.8,0.0295713,0.770429,0.829571
3772,0.8,0.0292749,0.770725,0.829275
3821,0.8,0.0289796,0.77102,0.82898
3871,0.8,0.0286851,0.771315,0.828685
3921,0.8,0.0283917,0.771608,0.828392
3971,0.8,0.0280993,0.771901,0.828099
4022,0.8,0.0278079,0.772192,0.827808
4071,0.8,0.0275175,0.772482,0.827518
4121,0.8,0.0272282,0.772772,0.827228
4172,0.8,0.0274637,0.772536,0.827464
4221,0.8,0.0271548,0.772845,0.827155
4272,0.8,0.0268473,0.773153,0.826847
4321,0.8,0.0265411,0.773459,0.826541
4371,0.8,0.0262364,0.773764,0.826236
4421,0.8,0.0259332,0.774067,0.825933
4471,0.8,0.0256314,0.774369,0.825631
4521,0.8,0.0253311,0.774669,0.825331
4571,0.8,0.0250323,0.774968,0.825032
4621,0.8,0.0247351,0.775265,0.824735
4671,0.8,0.0244393,0.775561,0.824439
4721,0.8,0.0241451,0.775855,0.824145
4772,0.8,0.0238525,0.776148,0.823852
4821,0.8,0.0235614,0.776439,0.823561
4871,0.8,0.0232719,0.776728,0.823272
4921,0.8,0.022984,0.777016,0.822984
4971,0.8,0.0226977,0.777302,0.822698
5021,0.8,0.022413,0.777587,0.822413
5072,0.8,0.0221299,0.77787,0.82213
5121,0.8,0.0218485,0.778152,0.821848
5172,0.8,0.0218954,0.778105,0.821895
5221,0.8,0.0215938,0.778406,0.821594
5272,0.8,0.0212942,0.778706,0.821294
5322,0.8,0.0209966,0.779003,0.820997
5371,0.8,0.020701,0.779299,0.820701
5421,0.8,0.0204074,0.779593,0.820407
5471,0.8,0.0201158,0.779884,0.820116
5521,0.8,0.0198263,0.780174,0.819826
5572,0.8,0.0195388,0.780461,0.819539
5621,0.8,0.0192533,0.780747,0.819253
5671,0.8,0.0189699,0.78103,0.81897
5722,0.8,0.0186885,0.781311,0.818689
5772,0.8,0.0184092,0.781591,0.818409
5823,0.8,0.018132,0.781868,0.818132
5873,0.8,0.0178568,0.782143,0.817857
5923,0.8,0.0175836,0.782416,0.817584
5972,0.8,0.0173126,0.782687,0.817313
6022,0.8,0.0170436,0.782956,0.817044
6072,0.8,0.0167896,0.78321,0.81679
6122,0.8,0.0165394,0.783461,0.816539
6172,0.8,0.0163276,0.783672,0.816328
6222,0.8,0.0160037,0.783996,0.816004
6276,0.8,0.0158873,0.784113,0.815887
6322,0.8,0.0157708,0.784229,0.815771
6372,0.8,0.0156566,0.784343,0.815657
6422,0.8,0.0155429,0.784457,0.815543
6472,0.8,0.0154565,0.784543,0.815457
6522,0.8,0.0153741,0.784626,0.815374
6571,0.8,0.015328,0.784672,0.815328
6621,0.8,0.0152841,0.784716,0.815284
6672,0.8,0.0152767,0.784723,0.815277
6722,0.8,0.0152722,0.784728,0.815272
6772,0.8,0.0153003,0.7847,0.8153
6823,0.8,0.0153342,0.784666,0.815334
6872,0.8,0.0153966,0.784603,0.815397
6922,0.8,0.0154679,0.784532,0.815468
6972,0.8,0.0155635,0.784437,0.815563
7022,0.8,0.0156711,0.784329,0.815671
7072,0.8,0.0157987,0.784201,0.815799
7121,0.8,0.0159417,0.784058,0.815942
7172,0.8,0.0161004,0.7839,0.8161
7222,0.8,0.0162779,0.783722,0.816278
7272,0.8,0.0829498,0.71705,0.88295
7322,0.8,0.0823421,0.717658,0.882342
7372,0.8,0.0817336,0.718266,0.881734
7421,0.8,0.0811244,0.718876,0.881124
7471,0.8,0.0805145,0.719486,0.880514
7521,0.8,0.079904,0.720096,0.879904
7571,0.8,0.079293,0.720707,0.879293
7621,0.8,0.0786816,0.721318,0.878682
7671,0.8,0.0780699,0.72193,0.87807
7722,0.8,0.0774578,0.722542,0.877458
7771,0.8,0.0768455,0.723154,0.876846
7821,0.8,0.0762331,0.723767,0.876233
7871,0.8,0.0756207,0.724379,0.875621
7921,0.8,0.0750082,0.724992,0.875008
7972,0.8,0.0743959,0.725604,0.874396
8022,0.8,0.0737836,0.726216,0.873784
8071,0.8,0.0731716,0.726828,0.873172
8121,0.8,0.0725599,0.72744,0.87256
8171,0.8,0.0719486,0.728051,0.871949
8222,0.8,0.0713376,0.728662,0.871338
8271,0.8,0.0673486,0.732651,0.867349
8321,0.8,0.0668692,0.733131,0.866869
8372,0.8,0.0663889,0.733611,0.866389
8421,0.8,0.0659077,0.734092,0.865908
8471,0.8,0.0654259,0.734574,0.865426
8521,0.8,0.0649433,0.735057,0.864943
8572,0.8,0.0644601,0.73554,0.86446
8622,0.8,0.0639764,0.736024,0.863976
8671,0.8,0.0634922,0.736508,0.863492
8721,0.8,0.0630075,0.736992,0.863008
8771,0.8,0.0625226,0.737477,0.862523
8821,0.8,0.0620373,0.737963,0.862037
8871,0.8,0.0615518,0.738448,0.861552
8921,0.8,0.0610661,0.738934,0.861066
8971,0.8,0.0605803,0.73942,0.86058
9021,0.8,0.0600945,0.739905,0.860095
9071,0.8,0.0596087,0.740391,0.859609
9122,0.8,0.0591229,0.740877,0.859123
9171,0.8,0.0586373,0.741363,0.858637
9221,0.8,0.0581518,0.741848,0.858152
9272,0.8,0.0576666,0.742333,0.857667
9321,0.8,0.0559853,0.744015,0.855985
9372,0.8,0.0555707,0.744429,0.855571
9421,0.8,0.0551557,0.744844,0.855156
9471,0.8,0.0547403,0.74526,0.85474
9522,0.8,0.0543245,0.745675,0.854325
9572,0.8,0.0539083,0.746092,0.853908
9622,0.8,0.0534919,0.746508,0.853492
9672,0.8,0.0530752,0.746925,0.853075
9722,0.8,0.0526583,0.747342,0.852658
9772,0.8,0.0522413,0.747759,0.852241
9822,0.8,0.0518243,0.748176,0.851824
9872,0.8,0.0514072,0.748593,0.851407
9922,0.8,0.0509902,0.74901,0.85099
9972,0.8,0.0505732,0.749427,0.850573
10022,0.8,0.0501564,0.749844,0.850156
10071,0.8,0.0497397,0.75026,0.84974
10122,0.8,0.0493234,0.750677,0.849323
10171,0.8,0.0489072,0.751093,0.848907
10221,0.8,0.0484914,0.751509,0.848491
10272,0.8,0.048076,0.751924,0.848076
10321,0.8,0.047661,0.752339,0.847661
10371,0.8,0.0470805,0.75292,0.84708
10421,0.8,0.0467176,0.753282,0.846718
10471,0.8,0.0463546,0.753645,0.846355
10521,0.8,0.0459917,0.754008,0.845992
10571,0.8,0.045629,0.754371,0.845629
10621,0.8,0.0452989,0.754701,0.845299
10671,0.8,0.0449803,0.75502,0.84498
10721,0.8,0.0447278,0.755272,0.844728
10771,0.8,0.044488,0.755512,0.844488
10822,0.8,0.0443087,0.755691,0.844309
10871,0.8,0.0441509,0.755849,0.844151
10921,0.8,0.0440378,0.755962,0.844038
10971,0.8,0.0439603,0.75604,0.84396
11021,0.8,0.0439115,0.756088,0.843912
11072,0.8,0.043913,0.756087,0.843913
11122,0.8,0.0439266,0.756073,0.843927
11171,0.8,0.0440058,0.755994,0.844006
11221,0.8,0.0440947,0.755905,0.844095
11271,0.8,0.0442357,0.755764,0.844236
11321,0.8,0.0444007,0.755599,0.844401
11372,0.8,0.0446017,0.755398,0.844602
11421,0.8,0.044839,0.755161,0.844839
11472,0.8,0.0450985,0.754902,0.845098
11521,0.8,0.0454106,0.754589,0.845411
11571,0.8,0.0457316,0.754268,0.845732
11621,0.8,0.0461108,0.753889,0.846111
11671,0.8,0.046506,0.753494,0.846506
11721,0.8,0.0469372,0.753063,0.846937
11771,0.8,0.0474063,0.752594,0.847406
11822,0.8,0.047888,0.752112,0.847888
11871,0.8,0.0484309,0.751569,0.848431
11921,0.8,0.0489825,0.751017,0.848983
11971,0.8,0.0495773,0.750423,0.849577
12021,0.8,0.0502028,0.749797,0.850203
12071,0.8,0.050844,0.749156,0.850844
12121,0.8,0.0515434,0.748457,0.851543
12171,0.8,0.0522523,0.747748,0.852252
12222,0.8,0.0530025,0.746997,0.853003
12271,0.8,0.0537861,0.746214,0.853786
12322,0.8,0.0545797,0.74542,0.85458
12371,0.8,0.0554369,0.744563,0.855437
12421,0.8,0.0563078,0.743692,0.856308
12471,0.8,0.0572002,0.7428,0.8572
12521,0.8,0.0581482,0.741852,0.858148
12571,0.8,0.0591071,0.740893,0.859107
12621,0.8,0.0601026,0.739897,0.860103
12671,0.8,0.0611392,0.738861,0.861139
12721,0.8,0.0621878,0.737812,0.862188
12771,0.8,0.0632843,0.736716,0.863284
12821,0.8,0.0644122,0.735588,0.864412
12871,0.8,0.0655537,0.734446,0.865554
12921,0.8,0.0667483,0.733252,0.866748
12971,0.8,0.067971,0.732029,0.867971
13021,0.8,0.0692087,0.730791,0.869209
13071,0.8,0.0704985,0.729502,0.870498
13121,0.8,0.0718199,0.72818,0.87182
13171,0.8,0.0728516,0.727148,0.872852
13221,0.8,0.0728559,0.727144,0.872856
13271,0.8,0.0728602,0.72714,0.87286
13321,0.8,0.0728646,0.727135,0.872865
13371,0.8,0.0728691,0.727131,0.872869
13422,0.8,0.0728737,0.727126,0.872874
13471,0.8,0.0728784,0.727122,0.872878
13521,0.8,0.0728831,0.727117,0.872883
13571,0.8,0.072888,0.727112,0.872888
13621,0.8,0.0728929,0.727107,0.872893
13671,0.8,0.0728979,0.727102,0.872898
13721,0.8,0.072903,0.727097,0.872903
13771,0.8,0.0729082,0.727092,0.872908
13821,0.8,0.0729135,0.727086,0.872914
13871,0.8,0.072919,0.727081,0.872919
13921,0.8,0.0729245,0.727076,0.872924
13971,0.8,0.0729301,0.72707,0.87293
14021,0.8,0.0729358,0.727064,0.872936
14071,0.8,0.0729417,0.727058,0.872942
14121,0.8,0.0729477,0.727052,0.872948
14171,0.8,0.0729538,0.727046,0.872954
14221,0.8,0.07296,0.72704,0.87296
14271,0.8,0.0729663,0.727034,0.872966
14321,0.8,0.0729728,0.727027,0.872973
14371,0.8,0.0729794,0.727021,0.872979
14421,0.8,0.0729862,0.727014,0.872986
14471,0.8,0.0729931,0.727007,0.872993
14521,0.8,0.0730002,0.727,0.873
14571,0.8,0.0730074,0.726993,0.873007
14621,0.8,0.0730147,0.726985,0.873015
14671,0.8,0.0730222,0.726978,0.873022
14721,0.8,0.0730299,0.72697,0.87303
14771,0.8,0.0730378,0.726962,0.873038
14821,0.8,0.0730459,0.726954,0.873046
14871,0.8,0.0730541,0.726946,0.873054
14921,0.8,0.0730625,0.726937,0.873063
14971,0.8,0.0730712,0.726929,0.873071
15021,0.8,0.07308,0.72692,0.87308
15071,0.8,0.073089,0.726911,0.873089
15121,0.8,0.0730983,0.726902,0.873098
15171,0.8,0.0731078,0.726892,0.873108
15221,0.8,0.0731175,0.726882,0.873118
15271,0.8,0.0731275,0.726873,0.873127
15321,0.8,0.0731377,0.726862,0.873138
15371,0.8,0.0731482,0.726852,0.873148
15421,0.8,0.073159,0.726841,0.873159
15471,0.8,0.07317,0.72683,0.87317
15521,0.8,0.0731813,0.726819,0.873181
15571,0.8,0.073193,0.726807,0.873193
15621,0.8,0.0732049,0.726795,0.873205
15671,0.8,0.0732172,0.726783,0.873217
15721,0.8,0.0732298,0.72677,0.87323
15771,0.8,0.0732428,0.726757,0.873243
15821,0.8,0.0732562,0.726744,0.873256
15871,0.8,0.0732699,0.72673,0.87327
15921,0.8,0.0732841,0.726716,0.873284
15971,0.8,0.0732987,0.726701,0.873299
16021,0.8,0.0733137,0.726686,0.873314
16071,0.8,0.0733292,0.726671,0.873329
16121,0.8,0.0733451,0.726655,0.873345
16171,0.8,0.0733616,0.726638,0.873362
16221,0.8,0.0733786,0.726621,0.873379
16271,0.8,0.0733961,0.726604,0.873396
16321,0.8,0.0734142,0.726586,0.873414
16371,0.8,0.073433,0.726567,0.873433
16421,0.8,0.0734523,0.726548,0.873452
16471,0.8,0.0734724,0.726528,0.873472
16521,0.8,0.0855585,0.714442,0.885558
16571,0.8,0.0855812,0.714419,0.885581
16621,0.8,0.0856047,0.714395,0.885605
16671,0.8,0.0856291,0.714371,0.885629
16721,0.8,0.0856543,0.714346,0.885654
16771,0.8,0.0856805,0.71432,0.88568
16821,0.8,0.0857077,0.714292,0.885708
16871,0.8,0.0857359,0.714264,0.885736
16921,0.8,0.0857652,0.714235,0.885765
16971,0.8,0.0857956,0.714204,0.885796
17021,0.8,0.0858273,0.714173,0.885827
17071,0.8,0.0858603,0.71414,0.88586
17121,0.8,0.0858947,0.714105,0.885895
17171,0.8,0.0859305,0.714069,0.885931
17221,0.8,0.085968,0.714032,0.885968
17271,0.8,0.0860071,0.713993,0.886007
17321,0.8,0.086048,0.713952,0.886048
17371,0.8,0.0860908,0.713909,0.886091
17421,0.8,0.0861356,0.713864,0.886136
17471,0.8,0.0861826,0.713817,0.886183
17521,0.8,0.086232,0.713768,0.886232
17571,0.8,0.108663,0.691337,0.908663
17621,0.8,0.108721,0.691279,0.908721
17671,0.8,0.108781,0.691219,0.908781
17721,0.8,0.108845,0.691155,0.908845
17771,0.8,0.108912,0.691088,0.908912
17821,0.8,0.108983,0.691017,0.908983
17871,0.8,0.109058,0.690942,0.909058
17921,0.8,0.109136,0.690864,0.909136
17971,0.8,0.10922,0.69078,0.90922
18021,0.8,0.109308,0.690692,0.909308
18071,0.8,0.109402,0.690598,0.909402
18121,0.8,0.109502,0.690498,0.909502
18171,0.8,0.109608,0.690392,0.909608
18221,0.8,0.109722,0.690278,0.909722
18271,0.8,0.109844,0.690156,0.909844
18321,0.8,0.109974,0.690026,0.909974
18371,0.8,0.110114,0.689886,0.910114
18421,0.8,0.110265,0.689735,0.910265
18471,0.8,0.110428,0.689572,0.910428
18521,0.8,0.110606,0.689394,0.910606
18571,0.8,0.139577,0.660423,0.939577
18621,0.8,0.139788,0.660212,0.939788
18671,0.8,0.140017,0.659983,0.940017
18721,0.8,0.140266,0.659734,0.940266
18771,0.8,0.140539,0.659461,0.940539
18821,0.8,0.140838,0.659162,0.940838
18871,0.8,0.141168,0.658832,0.941168
18921,0.8,0.141534,0.658466,0.941534
18971,0.8,0.141942,0.658058,0.941942
19021,0.8,0.142399,0.657601,0.942399
19071,0.8,0.142915,0.657085,0.942915
19121,0.8,0.143502,0.656498,0.943502
19171,0.8,0.144176,0.655824,0.944176
19221,0.8,0.144957,0.655043,0.944957
19271,0.8,0.145872,0.654128,0.945872
19321,0.8,0.14696,0.65304,0.94696
19371,0.8,0.148274,0.651726,0.948274
19421,0.8,0.149892,0.650108,0.949892
19471,0.8,0.151934,0.648066,0.951934
19521,0.8,0.154587,0.645413,0.954587
19571,0.8,0.158174,0.641826,0.958174
19621,0.8,0.663661,0.136339,1.46366
19671,0.8,0.678403,0.121597,1.4784
19721,-0.126463,0.306315,-0.432779,0.179852
19771,-0.12304,0.298227,-0.421267,0.175186
19821,-0.119705,0.29034,-0.410044,0.170635
19871,-0.116454,0.28265,-0.399105,0.166196
19871,0,0,0,0
